term,count,tf
press,1,0.002386634844868735
releases,2,0.00477326968973747
morrison,4,0.00954653937947494
knudsen,4,0.00954653937947494
plaza,1,0.002386634844868735
box,1,0.002386634844868735
boise,2,0.00477326968973747
idaho,5,0.011933174224343675
telex,1,0.002386634844868735
phone,1,0.002386634844868735
fax,1,0.002386634844868735
news,2,0.00477326968973747
release,1,0.002386634844868735
information,2,0.00477326968973747
contact,1,0.002386634844868735
brent,1,0.002386634844868735
brandon,1,0.002386634844868735
vice,1,0.002386634844868735
president,2,0.00477326968973747
corporate,1,0.002386634844868735
communications,1,0.002386634844868735
december,2,0.00477326968973747
mk,11,0.026252983293556086
wins,1,0.002386634844868735
role,1,0.002386634844868735
nuclear,6,0.014319809069212411
cleanup,1,0.002386634844868735
job,1,0.002386634844868735
inel,9,0.021479713603818614
corporation,5,0.011933174224343675
nyse,1,0.002386634844868735
team,7,0.016706443914081145
led,2,0.00477326968973747
bnfl,13,0.031026252983293555
perform,1,0.002386634844868735
engineering,5,0.011933174224343675
construction,5,0.011933174224343675
services,4,0.00954653937947494
totaling,1,0.002386634844868735
largest,1,0.002386634844868735
privatization,1,0.002386634844868735
effort,1,0.002386634844868735
undertaken,1,0.002386634844868735
national,1,0.002386634844868735
laboratory,1,0.002386634844868735
department,1,0.002386634844868735
energy,1,0.002386634844868735
doe,3,0.007159904534606206
total,2,0.00477326968973747
life,1,0.002386634844868735
cycle,2,0.00477326968973747
cost,1,0.002386634844868735
project,2,0.00477326968973747
involves,1,0.002386634844868735
design,4,0.00954653937947494
operation,2,0.00477326968973747
advanced,3,0.007159904534606206
mixed,4,0.00954653937947494
waste,24,0.057279236276849645
treatment,7,0.016706443914081145
facility,8,0.01909307875894988
amwtp,5,0.011933174224343675
meet,2,0.00477326968973747
agreed,1,0.002386634844868735
getting,1,0.002386634844868735
addition,1,0.002386634844868735
includes,1,0.002386634844868735
science,1,0.002386634844868735
applications,1,0.002386634844868735
international,2,0.00477326968973747
saic,2,0.00477326968973747
bel,2,0.00477326968973747
gts,2,0.00477326968973747
duratek,2,0.00477326968973747
manufacturing,1,0.002386634844868735
sciences,1,0.002386634844868735
msc,2,0.00477326968973747
rocky,4,0.00954653937947494
mountain,1,0.002386634844868735
remediation,1,0.002386634844868735
rmrs,4,0.00954653937947494
scientific,1,0.002386634844868735
psc,2,0.00477326968973747
american,1,0.002386634844868735
subsidiary,1,0.002386634844868735
fuel,1,0.002386634844868735
radioactive,2,0.00477326968973747
management,4,0.00954653937947494
company,1,0.002386634844868735
headquartered,1,0.002386634844868735
united,2,0.00477326968973747
kingdom,2,0.00477326968973747
brings,1,0.002386634844868735
experience,4,0.00954653937947494
licensing,1,0.002386634844868735
private,1,0.002386634844868735
facilities,1,0.002386634844868735
completed,1,0.002386634844868735
fixed,1,0.002386634844868735
price,1,0.002386634844868735
capital,1,0.002386634844868735
projects,1,0.002386634844868735
contracts,1,0.002386634844868735
sites,1,0.002386634844868735
announcement,1,0.002386634844868735
chief,1,0.002386634844868735
executive,1,0.002386634844868735
officer,1,0.002386634844868735
robert,1,0.002386634844868735
tinstman,1,0.002386634844868735
noted,1,0.002386634844868735
jointly,2,0.00477326968973747
owned,2,0.00477326968973747
environmental,1,0.002386634844868735
restoration,1,0.002386634844868735
contractor,1,0.002386634844868735
flats,3,0.007159904534606206
site,3,0.007159904534606206
colorado,2,0.00477326968973747
majority,2,0.00477326968973747
treated,2,0.00477326968973747
produced,1,0.002386634844868735
treat,4,0.00954653937947494
percent,2,0.00477326968973747
approximately,1,0.002386634844868735
cubic,2,0.00477326968973747
meters,2,0.00477326968973747
alpha,1,0.002386634844868735
wastes,1,0.002386634844868735
currently,1,0.002386634844868735
stored,1,0.002386634844868735
additional,2,0.00477326968973747
flexibility,1,0.002386634844868735
capacity,1,0.002386634844868735
optional,1,0.002386634844868735
integrated,1,0.002386634844868735
process,1,0.002386634844868735
achieve,1,0.002386634844868735
volume,1,0.002386634844868735
reduction,1,0.002386634844868735
result,1,0.002386634844868735
forms,1,0.002386634844868735
accepted,1,0.002386634844868735
isolation,1,0.002386634844868735
pilot,1,0.002386634844868735
plant,2,0.00477326968973747
wipp,1,0.002386634844868735
low,1,0.002386634844868735
level,1,0.002386634844868735
storage,2,0.00477326968973747
disposal,2,0.00477326968973747
plutonium,2,0.00477326968973747
contaminated,2,0.00477326968973747
employ,1,0.002386634844868735
proven,3,0.007159904534606206
technologies,3,0.007159904534606206
including,2,0.00477326968973747
plants,1,0.002386634844868735
complex,1,0.002386634844868735
designed,1,0.002386634844868735
levels,1,0.002386634844868735
contamination,1,0.002386634844868735
contract,1,0.002386634844868735
executed,1,0.002386634844868735
phases,1,0.002386634844868735
phase,3,0.007159904534606206
extends,2,0.00477326968973747
obtain,1,0.002386634844868735
permits,1,0.002386634844868735
authorization,1,0.002386634844868735
basis,1,0.002386634844868735
operations,3,0.007159904534606206
assist,1,0.002386634844868735
business,1,0.002386634844868735
approach,1,0.002386634844868735
ii,1,0.002386634844868735
manage,1,0.002386634844868735
completion,1,0.002386634844868735
date,1,0.002386634844868735
iii,1,0.002386634844868735
